pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
1 2 3 5 6 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
6 7 8	3	1	2	1	0	0	0	0.0	0	0	0	1	0.0
6 7 9	3	1	1	7	0	0	0	0.02	0	0	0	7	0.01
4 7 8 10	4	0	1	21	3	4	68	0.06	0.07	0.04	0.1	28	0.06
1 2 6 8 10	5	0	1	150	28	69	474	0.43	0.63	0.65	0.67	247	0.5
1 5 6 9	4	0	1	2	0	0	0	0.01	0	0	0	2	0.0
4 6 7 9 10	5	1	2	10	1	2	18	0.03	0.02	0.02	0.03	13	0.03
6 7	2	1	1	2	0	0	0	0.01	0	0	0	2	0.0
2 3 5 6 7 10	6	1	3	0	1	1	9	0	0.02	0.01	0.01	2	0.0
1 4 5 7 10	5	0	1	5	1	1	1	0.01	0.02	0.01	0.0	7	0.01
1 3 5 6 7 8 9 10	8	1	5	1	0	0	2	0.0	0	0	0.0	1	0.0
2 3 4 5 6 8 10	7	0	4	2	2	2	7	0.01	0.04	0.02	0.01	6	0.01
3 4 5 7 8 9 10	7	0	5	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 4 8 9 10	7	0	5	4	0	0	0	0.01	0	0	0	4	0.01
2 3 4 5 6 9 10	7	0	5	1	2	0	0	0.0	0.04	0	0	3	0.01
6 7 10	3	1	1	57	10	36	186	0.17	0.22	0.34	0.26	103	0.21
5 9 10	3	0	1	2	0	2	3	0.01	0	0.02	0.0	4	0.01
1 2 5 7	4	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 2 5 9	4	0	1	6	0	0	0	0.02	0	0	0	6	0.01
3 4 8 9	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 8 10	5	0	2	3	2	4	10	0.01	0.04	0.04	0.01	9	0.02
1 2 3 4 5 6 10	7	0	5	2	0	0	2	0.01	0	0	0.0	2	0.0
4 6 7 8 10	5	1	2	38	14	23	95	0.11	0.31	0.22	0.13	75	0.15
2 4 5 6 8 10	6	0	2	32	5	17	103	0.09	0.11	0.16	0.14	54	0.11
2 5 6 10	4	0	1	100	23	58	333	0.29	0.51	0.55	0.47	181	0.37
2 3 5 7 10	5	0	1	10	0	6	3	0.03	0	0.06	0.0	16	0.03
1 3 4 5 9 10	6	0	3	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 4 6 8 9 10	8	0	5	1	1	0	1	0.0	0.02	0	0.0	2	0.0
3 4 5 7 9 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
1 5 6 9 10	5	0	2	2	0	4	2	0.01	0	0.04	0.0	6	0.01
1 3 6 7 8 9	6	1	3	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 5 8 10	6	0	2	4	0	0	8	0.01	0	0	0.01	4	0.01
1 3 6 8 10	5	0	0	486	82	149	1093	1.41	1.83	1.41	1.54	717	1.45
4 6 7	3	1	1	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 4 7 9	4	0	0	5	0	1	0	0.01	0	0.01	0	6	0.01
1 5 8 10	4	0	0	6	3	3	9	0.02	0.07	0.03	0.01	12	0.02
1 3 8 9 10	5	0	2	1	0	1	1	0.0	0	0.01	0.0	2	0.0
5 6 8 9	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
7 10	2	0	0	1	0	4	0	0.0	0	0.04	0	5	0.01
2 5 8	3	0	0	12	0	1	0	0.03	0	0.01	0	13	0.03
2 5 9	3	0	0	15	2	1	1	0.04	0.04	0.01	0.0	18	0.04
3 4 5 7 8 10	6	0	3	1	1	0	0	0.0	0.02	0	0	2	0.0
2 4 5 6 8 9 10	7	0	4	3	0	1	1	0.01	0	0.01	0.0	4	0.01
2 5 7	3	0	0	3	0	0	0	0.01	0	0	0	3	0.01
1 2 5 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 3 7	3	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
1 3 5 7 9	5	0	0	5	1	0	0	0.01	0.02	0	0	6	0.01
1 2 3 5 6 7 9	7	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 5 7 8 9	6	0	3	2	0	0	0	0.01	0	0	0	2	0.0
2 6 7	3	1	1	2	0	0	0	0.01	0	0	0	2	0.0
1 6 7 8	4	1	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 5 7 8 9	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 4 6 7 8 10	8	1	5	1	0	0	4	0.0	0	0	0.01	1	0.0
3 4 9 10	4	0	2	0	0	0	1	0	0	0	0.0	0	0.0
1 4 5 6 7 8 10	7	1	4	1	1	0	2	0.0	0.02	0	0.0	2	0.0
3 4 8 10	4	0	1	143	25	36	253	0.41	0.56	0.34	0.36	204	0.41
4 5 9 10	4	0	2	1	1	0	0	0.0	0.02	0	0	2	0.0
1 3 6	3	0	0	2	0	3	0	0.01	0	0.03	0	5	0.01
1 4 5 6 10	5	0	2	51	12	22	101	0.15	0.27	0.21	0.14	85	0.17
1 5 10	3	0	0	17	0	4	12	0.05	0	0.04	0.02	21	0.04
2 4 5 6 7 10	6	1	3	5	0	6	18	0.01	0	0.06	0.03	11	0.02
1 2 3 6 7 8 10	7	1	4	13	2	1	20	0.04	0.04	0.01	0.03	16	0.03
2 3 7 8	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 7 9	5	0	1	0	1	0	0	0	0.02	0	0	1	0.0
1 2 4 7 8	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 5 10	4	0	1	15	2	4	4	0.04	0.04	0.04	0.01	21	0.04
1 2 3 5 10	5	0	2	7	0	2	0	0.02	0	0.02	0	9	0.02
1 3 5	3	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
1 4 10	3	0	0	39	14	16	100	0.11	0.31	0.15	0.14	69	0.14
4 5 8 10	4	0	1	85	7	22	88	0.25	0.16	0.21	0.12	114	0.23
1 2 3 8 9 10	6	0	4	2	0	0	0	0.01	0	0	0	2	0.0
1 4 8 9	4	0	1	2	0	0	0	0.01	0	0	0	2	0.0
5 7 8 9 10	5	0	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 4 9 10	5	0	3	0	0	1	2	0	0	0.01	0.0	1	0.0
2 3 4 7 10	5	0	2	8	1	0	4	0.02	0.02	0	0.01	9	0.02
1 4 6 8 9 10	6	0	2	15	0	8	36	0.04	0	0.08	0.05	23	0.05
2 3 4 8 10	5	0	2	159	17	38	240	0.46	0.38	0.36	0.34	214	0.43
1 2 5 6 8 10	6	0	2	8	2	11	47	0.02	0.04	0.1	0.07	21	0.04
1 2 5 6 9 10	6	0	3	3	0	1	7	0.01	0	0.01	0.01	4	0.01
