pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
1 6 8 9	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
3 5 10	3	0	0	62	4	18	13	0.18	0.09	0.17	0.02	84	0.17
2 3 4 5 9	5	0	3	2	0	0	0	0.01	0	0	0	2	0.0
3 4 5 6 7 10	6	1	4	6	2	2	4	0.02	0.04	0.02	0.01	10	0.02
2 3 5 8 10	5	0	1	12	0	4	3	0.03	0	0.04	0.0	16	0.03
1 2 5 10	4	0	1	20	3	2	1	0.06	0.07	0.02	0.0	25	0.05
2 3 4 6 7 10	6	1	3	21	5	7	35	0.06	0.11	0.07	0.05	33	0.07
3 5 7 9 10	5	0	1	3	0	0	3	0.01	0	0	0.0	3	0.01
2 4 6 9	4	0	0	22	1	1	0	0.06	0.02	0.01	0	24	0.05
2 4 6 8	4	0	0	11	0	3	1	0.03	0	0.03	0.0	14	0.03
2 4 7	3	0	0	5	0	1	0	0.01	0	0.01	0	6	0.01
2 4 6	3	0	0	5	0	6	0	0.01	0	0.06	0	11	0.02
2 4 5	3	0	1	2	0	0	0	0.01	0	0	0	2	0.0
2 4 9	3	0	0	3	0	1	1	0.01	0	0.01	0.0	4	0.01
2 4 8	3	0	0	6	1	2	1	0.02	0.02	0.02	0.0	9	0.02
2 4 5 7 10	5	0	1	12	2	9	4	0.03	0.04	0.08	0.01	23	0.05
2 3 5 9 10	5	0	2	2	0	1	1	0.01	0	0.01	0.0	3	0.01
1 2 4 10	4	0	1	18	3	5	28	0.05	0.07	0.05	0.04	26	0.05
2 4 6 8 9 10	6	0	2	32	8	16	110	0.09	0.18	0.15	0.15	56	0.11
2 4 7 8 10	5	0	1	41	5	14	103	0.12	0.11	0.13	0.14	60	0.12
2 4 10	3	0	0	70	8	40	149	0.2	0.18	0.38	0.21	118	0.24
2 4 5 6 8	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3 6 7 8 10	6	1	3	21	8	8	47	0.06	0.18	0.08	0.07	37	0.07
2 6 9 10	4	0	1	90	7	45	312	0.26	0.16	0.42	0.44	142	0.29
1 2 3 10	4	0	2	1	0	1	0	0.0	0	0.01	0	2	0.0
2 3 6 7 9 10	6	1	3	9	1	6	7	0.03	0.02	0.06	0.01	16	0.03
1 2 4 5 6 9 10	7	0	4	3	0	0	7	0.01	0	0	0.01	3	0.01
4 5 7 8 10	5	0	2	3	0	1	1	0.01	0	0.01	0.0	4	0.01
1 2 10	3	0	1	1	0	1	1	0.0	0	0.01	0.0	2	0.0
1 5 6 10	4	0	1	16	9	11	59	0.05	0.2	0.1	0.08	36	0.07
1 2 3 6 10	5	0	2	187	18	37	142	0.54	0.4	0.35	0.2	242	0.49
2 3 5 8 9 10	6	0	3	3	1	0	0	0.01	0.02	0	0	4	0.01
1 2 3 6 8 10	6	0	2	73	15	11	91	0.21	0.34	0.1	0.13	99	0.2
1 3 5 7 8 10	6	0	1	7	0	0	2	0.02	0	0	0.0	7	0.01
1 2 3 4 6 9 10	7	0	4	2	0	2	2	0.01	0	0.02	0.0	4	0.01
1 6 7 9 10	5	1	2	5	0	4	3	0.01	0	0.04	0.0	9	0.02
2 4 5 6 7 8 10	7	1	4	4	0	1	2	0.01	0	0.01	0.0	5	0.01
1 3 6 7 10	5	1	1	195	32	56	347	0.57	0.72	0.53	0.49	283	0.57
1 5 7 10	4	0	0	24	0	6	14	0.07	0	0.06	0.02	30	0.06
1 2 4 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 5 7 10	6	0	2	3	2	1	0	0.01	0.04	0.01	0	6	0.01
3 6 7 10	4	1	1	424	56	133	789	1.23	1.25	1.25	1.11	613	1.24
2 5 8 9	4	0	1	3	0	0	0	0.01	0	0	0	3	0.01
2 3 4 6 8	5	0	2	3	0	0	0	0.01	0	0	0	3	0.01
2 3 4 6 9	5	0	2	3	0	0	0	0.01	0	0	0	3	0.01
2 5 10	3	0	0	51	7	22	38	0.15	0.16	0.21	0.05	80	0.16
1 2 5 6 7 9	6	1	3	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 9 10	5	0	2	1	1	0	1	0.0	0.02	0	0.0	2	0.0
1 3 5 6 7 9 10	7	1	3	2	0	0	1	0.01	0	0	0.0	2	0.0
5 8 9 10	4	0	2	0	0	1	0	0	0	0.01	0	1	0.0
3 4 6 7 8 10	6	1	3	23	2	4	18	0.07	0.04	0.04	0.03	29	0.06
5 6 9	3	0	1	0	1	1	0	0	0.02	0.01	0	2	0.0
2 3 4 6 9 10	6	0	3	6	2	4	19	0.02	0.04	0.04	0.03	12	0.02
1 4 5 6 9 10	6	0	3	6	0	2	12	0.02	0	0.02	0.02	8	0.02
3 4 6 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
3 4 6 9	4	0	1	5	0	0	0	0.01	0	0	0	5	0.01
1 2 4 5 7 9 10	7	0	3	0	0	0	1	0	0	0	0.0	0	0.0
3 6 8 9	4	0	1	6	0	0	0	0.02	0	0	0	6	0.01
1 3 4 5 6 7 10	7	1	4	3	0	0	2	0.01	0	0	0.0	3	0.01
1 2 4 8 10	5	0	1	435	49	79	611	1.26	1.1	0.75	0.86	563	1.14
3 4 6 7 9 10	6	1	3	4	0	0	5	0.01	0	0	0.01	4	0.01
4 5 6 7 8 10	6	1	4	3	0	2	4	0.01	0	0.02	0.01	5	0.01
1 2 3 6 7 9 10	7	1	4	4	0	2	6	0.01	0	0.02	0.01	6	0.01
2 4 6 7 8 9	6	1	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 10	3	0	1	9	0	1	1	0.03	0	0.01	0.0	10	0.02
2 3 6 8 9 10	6	0	3	20	2	6	23	0.06	0.04	0.06	0.03	28	0.06
1 2 3 6 7 8 9 10	8	1	6	1	0	1	0	0.0	0	0.01	0	2	0.0
7	1	0	0	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 4 6 7 9 10	8	1	5	0	0	0	1	0	0	0	0.0	0	0.0
4 6 10	3	0	0	1585	186	478	3377	4.59	4.16	4.51	4.75	2249	4.54
1 3 5 6 7 8 10	7	1	3	2	1	0	5	0.01	0.02	0	0.01	3	0.01
1 2 4 5 8 10	6	0	2	19	3	5	25	0.06	0.07	0.05	0.04	27	0.05
4 5 8 9 10	5	0	3	3	0	0	0	0.01	0	0	0	3	0.01
2 10	2	0	0	20	1	10	5	0.06	0.02	0.09	0.01	31	0.06
2 6 7 9 10	5	1	2	33	3	10	27	0.1	0.07	0.09	0.04	46	0.09
2 6 10	3	0	0	2695	296	680	5592	7.81	6.62	6.42	7.87	3671	7.41
1 2 4 5 6 8 10	7	0	3	3	3	8	29	0.01	0.07	0.08	0.04	14	0.03
4 7 10	3	0	0	37	0	15	94	0.11	0	0.14	0.13	52	0.1
3 6 7 8 9 10	6	1	4	5	0	2	3	0.01	0	0.02	0.0	7	0.01
1 2 3 7 10	5	0	2	6	0	2	0	0.02	0	0.02	0	8	0.02
2 4 5 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 4 5 9	4	0	1	3	0	1	1	0.01	0	0.01	0.0	4	0.01
2 5 6 7 9	5	1	2	3	0	0	0	0.01	0	0	0	3	0.01
2 4 5 6	4	0	2	0	0	1	0	0	0	0.01	0	1	0.0
1 5 7 9 10	5	0	1	1	0	1	1	0.0	0	0.01	0.0	2	0.0
1 3 6 7 9 10	6	1	2	14	3	1	17	0.04	0.07	0.01	0.02	18	0.04
2 6 8 9 10	5	0	2	49	12	37	81	0.14	0.27	0.35	0.11	98	0.2
2 6 7 8 10	5	1	2	97	14	35	175	0.28	0.31	0.33	0.25	146	0.29
1 6 9 10	4	0	1	15	0	13	51	0.04	0	0.12	0.07	28	0.06
1 3 5 9 10	5	0	1	6	1	1	1	0.02	0.02	0.01	0.0	8	0.02
1 3 5 8 10	5	0	0	17	5	6	16	0.05	0.11	0.06	0.02	28	0.06
1 6 8 10	4	0	0	158	29	60	616	0.46	0.65	0.57	0.87	247	0.5
3 4 6 8 9 10	6	0	3	13	1	7	9	0.04	0.02	0.07	0.01	21	0.04
3 8	2	0	0	2	0	1	0	0.01	0	0.01	0	3	0.01
3 9	2	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
2 3 4 5 6 10	6	0	4	7	2	1	7	0.02	0.04	0.01	0.01	10	0.02
